mapping_id,scope,tactic,technique_id,technique_name,subtechnique,evidence_classification,confidence,dynamic_status,evidence_reference,detection_reference,mitre_url,notes
CAND-001,candidate,Collection,T1005,Data from Local System,no,candidate_mapping,medium,not exercised,../results/dnspy/turla_neuron_dnspy_analysis.md | ../screenshots/TurlaNeuron_14_dnSpy_CommandScript_Types1_2_File_Transfer.png,../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1005/,"Type 2 reads local bytes, but collection intent and use are not established."
CAND-002,candidate,Collection,T1074.001,Data Staged: Local Data Staging,yes,candidate_mapping,low,directory observed empty; staging not observed,../results/dynamic/turla_neuron_dynamic_analysis.md | ../screenshots/TurlaNeuron_24_Dynamic_HostSpecific_SYSTEM_Storage_Directory.png,../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1074/001/,"Host-specific storage exists, but no staged data was present."
GROUP-001,group,Stealth | Privilege Escalation,T1134.002,Create Process with Token,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1134/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors can impersonate or steal process tokens before executing commands.(Citation: ESET Turla PowerShell May 2019)
GROUP-002,group,Discovery,T1087.001,Local Account,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1087/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used net user to enumerate local accounts on the system.(Citation: ESET ComRAT May 2020)(Citation: ESET Crutch December 2020)
GROUP-003,group,Discovery,T1087.002,Domain Account,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1087/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used net user /domain to enumerate domain accounts.(Citation: ESET ComRAT May 2020)
GROUP-004,group,Resource Development,T1583.006,Web Services,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1583/006/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has created web accounts including Dropbox and GitHub for C2 and document exfiltration.(Citation: ESET Crutch December 2020)
GROUP-005,group,Command and Control,T1071.001,Web Protocols,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1071/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used HTTP and HTTPS for C2 communications.(Citation: ESET Turla Mosquito Jan 2018)(Citation: ESET Turla Mosquito May 2018)
GROUP-006,group,Command and Control,T1071.003,Mail Protocols,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1071/003/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used multiple backdoors which communicate with a C2 server via email attachments.(Citation: Crowdstrike GTR2020 Mar 2020)
GROUP-007,group,Collection,T1560.001,Archive via Utility,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1560/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has encrypted files stolen from connected USB drives into a RAR file before exfiltration.(Citation: Symantec Waterbug Jun 2019)
GROUP-008,group,Persistence | Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1547/001/,"Official MITRE G0010 context. A [Turla](https://attack.mitre.org/groups/G0010) Javascript backdoor added a local_update_check value under the Registry key HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run to establish persistence. Additionally, a [Turla](https://attack.mitre.org/groups/G0010) custom executable containing Metasploit shellcode is saved to the Startup folder to gain persistence.(Citation: ESET Turla Mosquito Jan 2018)(Citation: ESET Turla Mosquito May 2018)(Citation: ESET Turla Lunar toolset May 2024)"
GROUP-009,group,Persistence | Privilege Escalation,T1547.004,Winlogon Helper DLL,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1547/004/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) established persistence by adding a Shell value under the Registry key HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon.(Citation: ESET Turla Mosquito Jan 2018)
GROUP-010,group,Credential Access,T1110,Brute Force,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1110/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) may attempt to connect to systems within a victim's network using net use commands and a predefined list or collection of passwords.(Citation: Kaspersky Turla)
GROUP-011,group,Execution,T1059.001,PowerShell,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1059/001/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used PowerShell to execute commands/scripts, in some cases via a custom executable or code from [Empire](https://attack.mitre.org/software/S0363)'s PSInject.(Citation: ESET Turla Mosquito May 2018)(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019) [Turla](https://attack.mitre.org/groups/G0010) has also used PowerShell scripts to load and execute malware in memory."
GROUP-012,group,Execution,T1059.003,Windows Command Shell,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1059/003/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have used cmd.exe to execute commands.(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019)
GROUP-013,group,Execution,T1059.005,Visual Basic,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1059/005/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used VBS scripts throughout its operations.(Citation: Symantec Waterbug Jun 2019)
GROUP-014,group,Execution,T1059.006,Python,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1059/006/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used IronPython scripts as part of the [IronNetInjector](https://attack.mitre.org/software/S0581) toolchain to drop payloads.(Citation: Unit 42 IronNetInjector February 2021 )
GROUP-015,group,Execution,T1059.007,JavaScript,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1059/007/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used various JavaScript-based backdoors.(Citation: ESET Turla Mosquito Jan 2018)
GROUP-016,group,Resource Development,T1584.003,Virtual Private Server,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1584/003/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used the VPS infrastructure of compromised Iranian threat actors.(Citation: NSA NCSC Turla OilRig)
GROUP-017,group,Resource Development,T1584.004,Server,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1584/004/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used compromised servers as infrastructure.(Citation: Recorded Future Turla Infra 2020)(Citation: Accenture HyperStack October 2020)(Citation: Talos TinyTurla September 2021)
GROUP-018,group,Resource Development,T1584.006,Web Services,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1584/006/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has frequently used compromised WordPress sites for C2 infrastructure.(Citation: Recorded Future Turla Infra 2020)
GROUP-019,group,Credential Access,T1555.004,Windows Credential Manager,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1555/004/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has gathered credentials from the Windows Credential Manager tool.(Citation: Symantec Waterbug Jun 2019)
GROUP-020,group,Collection,T1213.006,Databases,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1213/006/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used a custom .NET tool to collect documents from an organization's internal central database.(Citation: ESET ComRAT May 2020)
GROUP-021,group,Collection,T1005,Data from Local System,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1005/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors can upload files from victim machines.(Citation: ESET Turla PowerShell May 2019)
GROUP-022,group,Collection,T1025,Data from Removable Media,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1025/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors can collect files from USB thumb drives.(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019)
GROUP-023,group,Stealth,T1140,Deobfuscate/Decode Files or Information,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1140/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used a custom decryption routine, which pulls key and salt values from other artifacts such as a WMI filter or [PowerShell Profile](https://attack.mitre.org/techniques/T1546/013), to decode encrypted PowerShell payloads.(Citation: ESET Turla PowerShell May 2019)"
GROUP-024,group,Resource Development,T1587.001,Malware,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1587/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has developed its own unique malware for use in operations.(Citation: Recorded Future Turla Infra 2020)
GROUP-025,group,Defense Impairment,T1685,Disable or Modify Tools,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1685/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used a AMSI bypass, which patches the in-memory amsi.dll, in PowerShell scripts to bypass Windows antimalware products.(Citation: ESET Turla PowerShell May 2019)"
GROUP-026,group,Initial Access,T1189,Drive-by Compromise,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1189/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has infected victims using watering holes.(Citation: ESET ComRAT May 2020)(Citation: Secureworks IRON HUNTER Profile)
GROUP-027,group,Privilege Escalation | Persistence,T1546.003,Windows Management Instrumentation Event Subscription,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1546/003/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used WMI event filters and consumers to establish persistence.(Citation: ESET Turla PowerShell May 2019)
GROUP-028,group,Privilege Escalation | Persistence,T1546.013,PowerShell Profile,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1546/013/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used PowerShell profiles to maintain persistence on an infected machine.(Citation: ESET Turla PowerShell May 2019)
GROUP-029,group,Exfiltration,T1567.002,Exfiltration to Cloud Storage,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1567/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used WebDAV to upload stolen USB files to a cloud drive.(Citation: Symantec Waterbug Jun 2019) [Turla](https://attack.mitre.org/groups/G0010) has also exfiltrated stolen files to OneDrive and 4shared.(Citation: ESET ComRAT May 2020)
GROUP-030,group,Privilege Escalation,T1068,Exploitation for Privilege Escalation,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1068/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has exploited vulnerabilities in the VBoxDrv.sys driver to obtain kernel mode privileges.(Citation: Unit42 AcidBox June 2020)
GROUP-031,group,Discovery,T1083,File and Directory Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1083/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover files in specific locations on the hard disk %TEMP% directory, the current user's desktop, the Program Files directory, and Recent.(Citation: Kaspersky Turla)(Citation: ESET ComRAT May 2020) [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have also searched for files matching the lPH*.dll pattern.(Citation: ESET Turla PowerShell May 2019)"
GROUP-032,group,Discovery,T1615,Group Policy Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1615/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover Group Policy details using the gpresult command.(Citation: ESET ComRAT May 2020)
GROUP-033,group,Stealth,T1564.012,File/Path Exclusions,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1564/012/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has placed [LunarWeb](https://attack.mitre.org/software/S1141) install files into directories that are excluded from scanning.(Citation: ESET Turla Lunar toolset May 2024)
GROUP-034,group,Command and Control,T1105,Ingress Tool Transfer,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1105/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used shellcode to download Meterpreter after compromising a victim.(Citation: ESET Turla Mosquito May 2018)
GROUP-035,group,Lateral Movement,T1570,Lateral Tool Transfer,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1570/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors can be used to transfer files to/from victim machines on the local network.(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019)
GROUP-036,group,Stealth,T1036.005,Match Legitimate Resource Name or Location,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1036/005/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has named components of [LunarWeb](https://attack.mitre.org/software/S1141) to mimic Zabbix agent logs.(Citation: ESET Turla Lunar toolset May 2024)
GROUP-037,group,Defense Impairment | Persistence,T1112,Modify Registry,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1112/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has modified Registry values to store payloads.(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019)
GROUP-038,group,Execution,T1106,Native API,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1106/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) and its RPC backdoors have used APIs calls for various tasks related to subverting AMSI and accessing then executing commands through RPC and/or named pipes.(Citation: ESET Turla PowerShell May 2019)
GROUP-039,group,Stealth,T1027.005,Indicator Removal from Tools,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1027/005/,"Official MITRE G0010 context. Based on comparison of [Gazer](https://attack.mitre.org/software/S0168) versions, [Turla](https://attack.mitre.org/groups/G0010) made an effort to obfuscate strings in the malware that could be used as IoCs, including the mutex name and named pipe.(Citation: ESET Gazer Aug 2017)"
GROUP-040,group,Stealth,T1027.010,Command Obfuscation,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1027/010/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used encryption (including salted 3DES via [PowerSploit](https://attack.mitre.org/software/S0194)'s Out-EncryptedScript.ps1), random variable names, and base64 encoding to obfuscate PowerShell commands and payloads.(Citation: ESET Turla PowerShell May 2019)"
GROUP-041,group,Stealth,T1027.011,Fileless Storage,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1027/011/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used the Registry to store encrypted and encoded payloads.(Citation: ESET Turla PowerShell May 2019)(Citation: Symantec Waterbug Jun 2019)
GROUP-042,group,Resource Development,T1588.001,Malware,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1588/001/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used malware obtained after compromising other threat actors, such as [OilRig](https://attack.mitre.org/groups/G0049).(Citation: NSA NCSC Turla OilRig)(Citation: Recorded Future Turla Infra 2020)"
GROUP-043,group,Resource Development,T1588.002,Tool,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1588/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has obtained and customized publicly-available tools like [Mimikatz](https://attack.mitre.org/software/S0002).(Citation: Symantec Waterbug Jun 2019)
GROUP-044,group,Discovery,T1201,Password Policy Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1201/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used net accounts and net accounts /domain to acquire password policy information.(Citation: ESET ComRAT May 2020)
GROUP-045,group,Discovery,T1120,Peripheral Device Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1120/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used fsutil fsinfo drives to list connected drives.(Citation: ESET ComRAT May 2020)
GROUP-046,group,Discovery,T1069.001,Local Groups,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1069/001/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used net localgroup and net localgroup Administrators to enumerate group information, including members of the local administrators group.(Citation: ESET ComRAT May 2020)"
GROUP-047,group,Discovery,T1069.002,Domain Groups,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1069/002/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used net group ""Domain Admins"" /domain to identify domain administrators.(Citation: ESET ComRAT May 2020)"
GROUP-048,group,Initial Access,T1566.002,Spearphishing Link,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1566/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) attempted to trick targets into clicking on a link featuring a seemingly legitimate domain from Adobe.com to download their malware and gain initial access.(Citation: ESET Turla Mosquito Jan 2018)
GROUP-049,group,Discovery,T1057,Process Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1057/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover running processes using the tasklist /v command.(Citation: Kaspersky Turla) [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have also enumerated processes associated with specific open ports or named pipes.(Citation: ESET Turla PowerShell May 2019)
GROUP-050,group,Stealth | Privilege Escalation,T1055,Process Injection,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1055/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has also used [PowerSploit](https://attack.mitre.org/software/S0194)'s Invoke-ReflectivePEInjection.ps1 to reflectively load a PowerShell payload into a random process on the victim system.(Citation: ESET Turla PowerShell May 2019)
GROUP-051,group,Stealth | Privilege Escalation,T1055.001,Dynamic-link Library Injection,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1055/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used Metasploit to perform reflective DLL injection in order to escalate privileges.(Citation: ESET Turla Mosquito May 2018)(Citation: Github Rapid7 Meterpreter Elevate)
GROUP-052,group,Command and Control,T1090,Proxy,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1090/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have included local UPnP RPC proxies.(Citation: ESET Turla PowerShell May 2019)
GROUP-053,group,Command and Control,T1090.001,Internal Proxy,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1090/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has compromised internal network systems to act as a proxy to forward traffic to C2.(Citation: Talos TinyTurla September 2021)
GROUP-054,group,Discovery,T1012,Query Registry,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1012/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover information in the Windows Registry with the reg query command.(Citation: Kaspersky Turla) [Turla](https://attack.mitre.org/groups/G0010) has also retrieved PowerShell payloads hidden in Registry keys as well as checking keys associated with null session named pipes .(Citation: ESET Turla PowerShell May 2019)
GROUP-055,group,Lateral Movement,T1021.002,SMB/Windows Admin Shares,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1021/002/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) used net use commands to connect to lateral systems within a network.(Citation: Kaspersky Turla)
