category,type,value,confidence,scope,evidence,recommended_use,notes
supporting_behavior,registry_value,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect = 0,low,behavioral,Dynamic Registry and Noriben evidence,Use only with installer and service evidence,Not a standalone IOC
supporting_behavior,registry_value,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName = 1,low,behavioral,Dynamic Registry and Noriben evidence,Use only with installer and service evidence,Not a standalone IOC
supporting_behavior,registry_value,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass = 1,low,behavioral,Dynamic Registry and Noriben evidence,Use only with installer and service evidence,Not a standalone IOC
supporting_behavior,registry_value,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet = 1,low,behavioral,Dynamic Registry and Noriben evidence,Use only with installer and service evidence,Not a standalone IOC
excluded,laboratory_directory,C:\Malware\TurlaNeuron\,low,environmental,Laboratory setup,Do not deploy as an IOC,Analyst-chosen sample directory
excluded,laboratory_user_path,C:\Users\james\,low,environmental,Laboratory setup,Do not deploy as an IOC,Analyst-specific profile
excluded,laboratory_machine_guid,433532c3-7ccc-4378-8462-ffd9d5838324,low,environmental,Dynamic laboratory evidence,Do not deploy as a universal IOC,Host-specific MachineGuid
excluded,process_ids,"1632, 6812, 960, PID 4",low,environmental,Dynamic laboratory evidence,Do not deploy as IOCs,Temporary runtime identifiers
excluded,analyst_username,james,low,environmental,Laboratory setup,Do not deploy as an IOC,Analyst identity
excluded,laboratory_sid,Laboratory user SID,low,environmental,Defender quarantine evidence,Do not deploy as an IOC,Host and account specific
excluded,vm_snapshot_name,Pre-Noriben Turla Neuron,low,environmental,Laboratory safety evidence,Do not deploy as an IOC,Analyst-created recovery label
excluded,analysis_timestamps,2026-07-22 laboratory timestamps,low,environmental,Analysis evidence,Do not deploy as IOCs,Times describe the controlled run
excluded,quarantine_filename,Random Defender quarantine filenames,low,environmental,Defender remediation evidence,Do not deploy as IOCs,Temporary Defender-managed names
excluded,recycle_bin_path,C:\$Recycle.Bin,low,environmental,Defender remediation evidence,Do not deploy as an IOC,Generic quarantine location
excluded,quarantine_name,RZ18ZGP.exe,low,environmental,Defender remediation evidence,Do not deploy as an IOC,Random temporary quarantine name
excluded,broad_port,Port 443 by itself,low,environmental,HTTP.sys evidence,Do not alert without related artifacts,Common HTTPS port
excluded,broad_registry_values,ZoneMap values by themselves,low,environmental,Dynamic Registry evidence,Do not alert without related artifacts,Common administrative settings
excluded,noriben_filename,Temporary Noriben filenames,low,environmental,Laboratory monitoring evidence,Do not deploy as IOCs,Tool-generated analysis artifacts
excluded,kali_sample_path,Local Kali sample path,low,environmental,Static-analysis evidence,Do not deploy as an IOC,Analyst filesystem location
